"fatal","lowdem","terr500k10yr","interaction4","defense","caprat","contig","pnbdem_low","peaceyears","spline1","spline2","spline3"
1,8,0,0,1,0.00207426003180444,0,0.25,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-7,0,0,0,0.794635355472565,0,0.25,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-10,4,-40,0,0.329892635345459,1,0.166666701436043,0,0,0,0
1,-7,2,-14,0,0.177809938788414,1,0,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-9,7,-63,0,0.0473352409899235,0,0.25,11,-1246.44323730469,-1194.302734375,-1071.99462890625
1,-10,0,0,0,0.953172206878662,0,0,6,-206.659454345703,-193.816223144531,-173.967575073242
1,-8,0,0,0,0.629115998744965,1,0.125,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-7,0,0,0,0.412176728248596,0,0,33,-18757.96875,-29502.173828125,-28943.853515625
1,-7,1,-7,0,0.259153783321381,1,0.636363625526428,0,0,0,0
1,-9,0,0,1,0.0520256496965885,1,0.200000002980232,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-6,0,0,0,0.178352609276772,1,0,0,0,0,0
1,-6,0,0,1,0.0632521733641624,1,0,91,-149197.125,-302929.25,-440555.1875
1,0,10,0,0,0.14601494371891,1,0.125,31,-16335.740234375,-25003.3828125,-23993.83203125
1,-7,0,0,0,0.00747238518670201,0,0.600000023841858,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-9,0,0,0,0.331207633018494,1,0,11,-1246.44323730469,-1194.302734375,-1071.99462890625
1,-8,0,0,1,0.927927911281586,1,0.200000002980232,39,-26962.85546875,-45226.77734375,-47748.84375
1,-9,0,0,0,0.325680941343307,1,0.0625,21,-6663.5244140625,-8301.8701171875,-7458.859375
1,-7,2,-14,0,0.235320881009102,1,0,0,0,0,0
1,-7,2,-14,1,0.24701327085495,1,0.090909093618393,0,0,0,0
1,-10,10,-100,0,0.118476152420044,1,0.222222194075584,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-7,0,0,0,0.013031018897891,0,0.25,38,-25499.15625,-42377.49609375,-44186.20703125
1,-7,0,0,0,0.239470526576042,0,0,15,-2886.05395507812,-3028.37841796875,-2718.2431640625
1,-7,4,-28,0,0.781189680099487,0,0,19,-5231.39453125,-6154.56201171875,-5524.27587890625
1,-9,10,-90,0,0.00808044150471687,0,0.25,24,-9130.205078125,-12279.23828125,-11133.9248046875
1,-5,0,0,0,0.520993530750275,0,0.400000005960464,13,-1976.99462890625,-1971.36218261719,-1769.47570800781
1,8,3,24,0,0.179103225469589,1,0.111111111938953,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-7,0,0,0,0.904522597789764,1,0,17,-3971.5458984375,-4408.42138671875,-3956.95678710938
1,-9,10,-90,0,0.472435921430588,1,0.125,3,-25.8324317932129,-24.2270278930664,-21.7459468841553
1,-7,9,-63,0,0.989176511764526,0,0,14,-2409.34057617188,-2462.18383789062,-2210.03247070312
1,-6,2,-12,0,0.0992260500788689,0,0.888888895511627,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-8,0,0,1,0.178306087851524,1,0.125,16,-3406.87573242188,-3675.32983398438,-3298.9404296875
1,-9,0,0,0,0.0832036435604095,0,0.166666701436043,20,-5926.05419921875,-7177.37841796875,-6443.2431640625
1,-9,9,-81,1,0.466666668653488,1,0.200000002980232,8,-489.859466552734,-459.416229248047,-412.367553710938
1,-6,8,-48,0,0.267861992120743,1,0,5,-119.594596862793,-112.162162780762,-100.675674438477
1,-9,0,0,1,0.281026214361191,1,0,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-6,8,-48,0,0.020573016256094,0,0.300000011920929,23,-8265.859375,-10853.416015625,-9799.3671875
1,-9,0,0,0,0.331207633018494,1,0,11,-1246.44323730469,-1194.302734375,-1071.99462890625
1,-9,0,0,1,0.0444029308855534,1,0.400000005960464,46,-38254.875,-67656.328125,-77394.9375
1,-9,0,0,0,0.325680941343307,1,0.0625,21,-6663.5244140625,-8301.8701171875,-7458.859375
1,-7,0,0,0,0.898174822330475,0,0,11,-1246.44323730469,-1194.302734375,-1071.99462890625
1,-10,10,-100,0,0.166178554296494,1,0.200000002980232,0,0,0,0
1,-9,0,0,0,0.474532186985016,1,0.125,0,0,0,0
1,1,10,10,0,0.213858544826508,1,0.111111111938953,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,0,10,0,0,0.136630028486252,1,0.25,4,-61.2324333190918,-57.4270286560059,-51.5459442138672
1,-7,3,-21,0,0.602591812610626,1,0.125,10,-948.756774902344,-897.297302246094,-805.405395507812
1,0,10,0,0,0.137973144650459,1,0.125,0,0,0,0
1,-9,0,0,0,0.480016976594925,1,0.125,1,-0.956756770610809,-0.897297322750092,-0.805405378341675
1,-7,0,0,0,0.0970780551433563,1,0,2,-7.65405416488647,-7.17837858200073,-6.4432430267334
1,-5,0,0,0,0.825704753398895,1,0,126,-270841.25,-569889,-882113.625
1,5,1,5,0,0.187684148550034,1,0.461538463830948,80,-116611.46875,-232435.21875,-327183.5625
1,-9,3,-27,0,0.580302238464355,1,0.25,0,0,0,0
1,-2,0,0,0,0.245733797550201,1,0.142857134342194,20,-5926.05419921875,-7177.37841796875,-6443.2431640625
1,-7,0,0,0,0.318283021450043,0,0.400000005960464,65,-77556.3125,-149084.265625,-196795.453125
